Date : 2024-12-11 09:22:34
Directory : c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass
Total : 89 files,  20034 codes, 424 comments, 560 blanks, all 21018 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\LoginScreen.js                               | JavaScript         |         55 |          2 |          7 |         64 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\About.js                                | JavaScript         |        136 |          0 |          7 |        143 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Activity.js                             | JavaScript         |        237 |          4 |         21 |        262 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Billet.js                               | JavaScript         |        159 |          0 |         12 |        171 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Home.js                                 | JavaScript         |        268 |          1 |         14 |        283 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Palmares.js                             | JavaScript         |        132 |          0 |          9 |        141 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Profile.js                              | JavaScript         |        268 |          0 |         11 |        279 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Reglementation.js                       | JavaScript         |         23 |          0 |          4 |         27 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\ScanCodeScreen.js                       | JavaScript         |        133 |          3 |         12 |        148 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Settings.js                             | JavaScript         |        102 |          0 |          8 |        110 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Shopping.js                             | JavaScript         |        179 |          0 |         18 |        197 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\components\BackButton.js                     | JavaScript         |         22 |          2 |          3 |         27 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\components\BottomTabNavigator.js             | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\components\Button.js                         | JavaScript         |         30 |          0 |          3 |         33 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\components\Buttonlist.js                     | JavaScript         |         24 |          0 |          4 |         28 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\components\Header.js                         | JavaScript         |         15 |          0 |          2 |         17 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\components\Logo.js                           | JavaScript         |         17 |          0 |          2 |         19 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\components\TextInput.js                      | JavaScript         |         40 |          0 |          3 |         43 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\core\Theme.js                                | JavaScript         |         11 |          0 |          1 |         12 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\helpers\EmailValidator.js                    | JavaScript         |          6 |          0 |          0 |          6 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\helpers\NameValidator.js                     | JavaScript         |          4 |          0 |          0 |          4 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\helpers\PasswordValidator.js                 | JavaScript         |          5 |          0 |          0 |          5 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\helpers\UsernameValidator.js                 | JavaScript         |          5 |          0 |          0 |          5 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\index.js                                     | JavaScript         |         30 |          0 |          1 |         31 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\authConfig.js                                               | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\babel.config.js                                             | JavaScript         |         19 |          0 |          1 |         20 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\context\auth.tsx                                            | TypeScript JSX     |         48 |          3 |         10 |         61 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\context\useStorageState.ts                                  | TypeScript         |         58 |          3 |          9 |         70 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\debug.log                                                   | Log                |          2 |          0 |          1 |          3 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\eas.json                                                    | JSON with Comments |         27 |          0 |          1 |         28 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\hooks\useEvent.ts                                           | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\index.js                                                    | JavaScript         |          7 |          4 |          4 |         15 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\metro.config.js                                             | JavaScript         |          3 |          2 |          3 |          8 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\package-lock.json                                           | JSON               |     13,483 |          0 |          1 |     13,484 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\package.json                                                | JSON               |         85 |          0 |          1 |         86 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\tsconfig.json                                               | JSON with Comments |          4 |          0 |          1 |          5 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\webpack.config.js                                           | JavaScript         |          5 |          1 |          2 |          8 |
| Total                                                                                                                     |                    |     20,034 |        424 |        560 |     21,018 |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
