"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Log", "comment", "blank", "total"
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\context\useStorageState.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 3, 9, 70
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\debug.log", "Log", 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\eas.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 1, 28
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\hooks\useEvent.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\index.js", "JavaScript", 7, 0, 0, 0, 0, 0, 4, 4, 15
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\metro.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 2, 3, 8
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\package-lock.json", "JSON", 0, 0, 13483, 0, 0, 0, 0, 1, 13484
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\package.json", "JSON", 0, 0, 85, 0, 0, 0, 0, 1, 86
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\tsconfig.json", "JSON with Comments", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\webpack.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 5938, 99, 13568, 68, 359, 2, 424, 560, 21018
